date,lowest_price,median_price,highest_price
2021-10-29,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-30,21.80666666666667,31.953333333333333,32.20666666666667
2021-10-31,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-01,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-02,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-03,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-04,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-05,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-06,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-07,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-08,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-09,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-10,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-11,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-12,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-13,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-14,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-15,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-16,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-17,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-18,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-19,21.80666666666667,31.953333333333333,32.20666666666667
2021-11-20,8.74,8.74,8.74
2021-11-21,18.54,26.150000000000002,26.34
2021-11-22,18.54,26.150000000000002,26.34
2021-11-23,18.54,26.150000000000002,26.34
2021-11-24,18.54,26.150000000000002,26.34
2021-11-25,18.54,26.150000000000002,26.34
2021-11-26,18.54,26.150000000000002,26.34
2021-11-27,18.54,26.150000000000002,26.34
2021-11-28,18.54,26.150000000000002,26.34
2021-11-29,18.54,26.150000000000002,26.34
2021-11-30,18.54,26.150000000000002,26.34
2021-12-01,18.54,26.150000000000002,26.34
2021-12-02,18.54,26.150000000000002,26.34
2021-12-03,18.54,26.150000000000002,26.34
2021-12-04,18.54,26.150000000000002,26.34
2021-12-05,18.54,26.150000000000002,26.34
2021-12-06,18.54,26.150000000000002,26.34
2021-12-07,18.54,26.150000000000002,26.34
2021-12-08,18.54,26.150000000000002,26.34
2021-12-09,18.54,26.150000000000002,26.34
2021-12-10,18.54,26.150000000000002,26.34
2021-12-11,18.54,26.150000000000002,26.34
2021-12-12,18.54,26.150000000000002,26.34
2021-12-13,18.54,26.150000000000002,26.34
2021-12-14,18.54,26.150000000000002,26.34
2021-12-15,18.54,26.150000000000002,26.34
2021-12-16,18.54,26.150000000000002,26.34
2021-12-17,18.54,26.150000000000002,26.34
2021-12-18,18.54,26.150000000000002,26.34
2021-12-19,18.54,26.150000000000002,26.34
2021-12-20,18.54,26.150000000000002,26.34
2021-12-21,18.54,26.150000000000002,26.34
